keyword,searchengine,num_visits
госзатраты,Яндекс,5571
госзатраты поиск контрактов,Яндекс,1067
госзатраты официальный сайт,Яндекс,1022
госзатраты сайт,Яндекс,666
clearspending.ru,Яндекс,622
госзатраты портал,Яндекс,519
код спз,Яндекс,486
госзатраты,Mail.ru,446
госзатраты ру,Яндекс,298
госзатраты.ру,Яндекс,262
госзатраты по заключенным контрактам,Яндекс,241
департамент росприроднадзора по северо-кавказскому федеральному округу,Яндекс,228
санаторий южный фнс россии,Яндекс,226
гос затраты,Яндекс,223
clearspending,Яндекс,198
госзатраты,Bing,168
госзатраты сайт,Mail.ru,164
http://www.clearspending.ru/contract/,Яндекс,146
"кировское областное государственное казенное учреждение ""дорожный комитет кировской области""",Яндекс,137
код спз организации,Яндекс,131
госзатраты,Rambler,122
госзатраты,Google,120
сайт госзатраты,Яндекс,102
гку ампп,Яндекс,94
спз,Яндекс,89
фблпу санаторий южный фнс россии,Яндекс,88
гку ампп официальный сайт,Яндекс,82
что такое код спз организации,Яндекс,82
код спз что это,Яндекс,79
фку упрдор тамань,Яндекс,78
гбу автомобильные дороги юзао,Яндекс,70
поиск поставщиков,Яндекс,70
в/ч 35533,Яндекс,69
код спз что такое,Яндекс,68
санаторий южный фнс россии официальный сайт,Яндекс,66
фгбу пфмиц минздрава россии г нижний новгород,Яндекс,65
фку упрдор каспий астрахань,Яндекс,65
елена кулишкина станиславовна,Google,60
кубинская сош 1 имени ткаченко официальный сайт,Яндекс,60
мониторинг госзакупок,Яндекс,59
транспортное управление костромской области сайт,Google,59
дирекция единого заказчика министерства социальной защиты населения,Яндекс,58
оборонэнергосбыт кронштадтское отделение,Яндекс,58
войсковая часть 95006,Яндекс,57
укс смоленской области официальный сайт,Яндекс,56
фку цхисо гу мвд россии по г санкт-петербургу и ленинградской области,Яндекс,56
гбу автомобильные дороги вао,Яндекс,54
узнать окдп по инн,Яндекс,54
гаусо «реабилитационный центр для детей и подростков с ограниченными возможностями «доверие»,Яндекс,53
упрдор тамань,Яндекс,53
центр управления городскими дорогами владимир,Яндекс,53
http://clearspending.ru/,Яндекс,50
гбу мфц города москвы вознесенский переулок 22 телефон,Яндекс,50
http://clearspending.ru/,Google,49
войсковая часть 28178,Яндекс,48
гбу автомобильные дороги свао официальный сайт,Яндекс,48
техглавстрой,Яндекс,48
мегалайн министерство обороны,Яндекс,47
www.clearspending.ru,Яндекс,46
clearspending,Google,45
гос контракты по ремонту дорог в мало-пургинском районе в 2014 году,Яндекс,45
адрес эл. почты фозилов д.к. г. урай,Яндекс,43
волгаэнергосбыт нижний новгород автозаводский район,Яндекс,43
clearspending ru,Яндекс,42
ооо канцтовары,Яндекс,42
поиск контрактов,Яндекс,42
фгбу минмелиоводхоз рд официальный сайт,Яндекс,42
фку налог-сервис фнс россии,Яндекс,42
войсковая часть 55056,Яндекс,41
глаголев алексей владимирович,Яндекс,41
дирекция единого заказчика министерства социальной защиты населения московской области,Яндекс,41
служба заказчика министерства строительства хабаровского края,Яндекс,41
код по спз,Яндекс,40
фку налог сервис,Яндекс,40
20336ц58700,Яндекс,39
3 цнии минобороны россии официальный сайт,Яндекс,39
сводный перечень заказчиков спз,Яндекс,39
фгуп рсво филиал красногвардейский район,Яндекс,39
фку налог-сервис фнс россии форум зарплата 2014,Яндекс,39
гку дирекция департамента образования города москвы,Яндекс,38
донской спасательный центр мчс россии,Яндекс,38
фгбу иац судебного департамента,Яндекс,38
фгку в/ч 55056,Яндекс,38
что такое код спз,Яндекс,38
департамент автомобильных дорог краснодарского края,Яндекс,37
сводный перечень заказчиков,Яндекс,37
фгбу нцэсмп минздрава россии,Яндекс,37
фгбу центр геодезии картографии и ипд,Яндекс,37
бюджеты регионов россии 2014 таблица,Яндекс,36
в/ч 68240,Яндекс,36
код спз как узнать,Яндекс,36
мку автохозяйство тула,Яндекс,36
фку тамань,Яндекс,36
clearspending,Mail.ru,35
атекс групп,Яндекс,35
егорова лариса станиславовна иваново,Яндекс,35
санкт-петербургского государственное бюджетное учреждение «дом молодежи «рекорд»,Google,35
территориальные информационные системы 7811342784,Яндекс,35
фгбу сзфмиц минздрава россии,Яндекс,35
фку центравтомагистраль,Яндекс,35
гку мосэкопром официальный сайт,Яндекс,34
clearspending,Bing,33
гбу жилищник куркино,Яндекс,33
департамент смоленской области по образованию науке и делам молодежи,Яндекс,33
дом отдыха прибрежный фсб россии,Яндекс,33
минздрав рф почтовый адрес,Яндекс,33
мку служба заказчика верх-исетского района города екатеринбурга,Яндекс,33
усрдис администрации г.уфы,Яндекс,33
фгку 12 центральный научно-исследовательский институт минобороны рф,Яндекс,33
clearspending.ru,Mail.ru,32
леноблэкспертиза официальный сайт,Яндекс,32
поликлиника 1 фтс россии ростов на дону,Яндекс,32
служба заказчика верх-исетского района города екатеринбурга,Яндекс,32
управление капитального строительства смоленской области сайт,Яндекс,32
упрдор каспий астрахань,Яндекс,32
фгку комбинат гранит свердловская область г красноуральск,Яндекс,32
гбу мфц города москвы,Яндекс,31
гку управление по обеспечению гз ло,Яндекс,31
муромский дом интернат для престарелых,Яндекс,31
тихоокеанская дирекция по техническому обеспечению надзора на море инн,Яндекс,31
управление по обеспечению жизнедеятельности города администрации го г.уфа,Яндекс,31
clearspending.ru,Bing,30
буво цодусз,Яндекс,30
гостраты,Яндекс,30
дирекция транспортного строительства,Яндекс,30
"общество с ограниченной ответственностью ""сигма""",Яндекс,30
тендер 2.0,Яндекс,30
территориальная сервисная компания,Яндекс,30
"фку упрдор ""тамань""",Яндекс,30
фку упрдор тамань официальный сайт,Яндекс,30
газпромнефть корпоративные продажи,Яндекс,29
гбу автомобильные дороги вао официальный сайт,Яндекс,29
гбу жилищник района куркино официальный сайт,Яндекс,29
гку ампп телефон,Яндекс,29
мбу центр итс,Яндекс,29
"общество с ограниченной ответственностью ""техносат""",Nigma,29
департамент автомобильных дорог краснодарского края официальный сайт,Яндекс,28
детский сад 157 воронеж официальный сайт,Яндекс,28
оквэд кпп,Яндекс,28
портал госзатраты,Яндекс,28
фку упрдор каспий,Яндекс,28
автономная некоммерческая организация дополнительного профессионального образования «институт государственного управления»,Яндекс,27
войсковая часть 71330,Яндекс,27
гку гускк краснодар официальный сайт,Яндекс,27
дирекция финансирования программ бдд,Яндекс,27
мбу благоустройство таганрог,Яндекс,27
мку административно-техническая инспекция челябинск,Яндекс,27
филиал 5 фгу 3 цвкг им а.а вишневского минобороны россии,Яндекс,27
центр обеспечения граждан техническими средствами реабилитации ульяновск,Яндекс,27
ао строительное управление 1,Яндекс,26
аукцион №0130200002413000569 «поставка соли таблетированной» буз во «медсанчасть «северсталь»,Яндекс,26
гбу автомобильные дороги свао,Яндекс,26
гку рд дирекция единого государственного заказчика-застройщика,Яндекс,26
дирекция финансирования научных и образовательных программ бдд рт,Яндекс,26
ооо территориальная сервисная компания екатеринбург,Яндекс,26
спецтехуниверсал тамбов,Яндекс,26
управление тепловодоснабжения и водоотведения,Яндекс,26
фгбу 46 цнии минобороны россии официальный сайт,Яндекс,26
фгку 12 цнии минобороны россии,Яндекс,26
фку упрдор тамань,Mail.ru,26
http://clearspending.ru,Яндекс,25
гбу автомобильные дороги юзао официальный сайт,Яндекс,25
гку укс самарской области официальный сайт,Яндекс,25
департамент земельных отношений и градостроительства тюмень,Яндекс,25
"общество с ограниченной ответственностью ""балттранснефтепродукт""",Яндекс,25
поликлиника 2 фтс нижний новгород,Яндекс,25
сло россия,Яндекс,25
фгбу дезз минздрава россии,Яндекс,25
фгбу северный эо аср мурманск,Яндекс,25
фку упрдор тамань вакансии,Яндекс,25
"гбу здравоохранения иркутского ордена ""знак почёта"" областная клиническая больница реквизиты",Яндекс,24
гбуз пк црб пмр муниципального района,Яндекс,24
госкомитет по охране животного мира и окружающей среды хакасии,Яндекс,24
мку единая служба заказчика краснодар,Яндекс,24
"общество с ограниченной ответственностью ""слк""",Яндекс,24
"общество с ограниченной ответственностью ""спектр""",Яндекс,24
санаторий анапа фсб россии,Яндекс,24
фгбу 3 цнии минобороны россии официальный сайт,Яндекс,24
фгбу управление самарамелиоводхоз,Яндекс,24
центр помощи детям оставшимся без попечения родителей г псков,Яндекс,24
безопасный регион ярославль,Яндекс,23
бюджеты регионов россии 2015 таблица,Яндекс,23
гбу автомобильные дороги,Яндекс,23
департамент по недропользованию по центрально-сибирскому округу,Яндекс,23
наборы для закрытия пункционного отверстия safeguard 10 шт/уп,Яндекс,23
проект планировки северо-западной части станицы должанской должанского сельского поселения ейского района.,Яндекс,23
управление мосводосбыт филиал оао мосводоканал,Яндекс,23
фбу цсм калужской области,Яндекс,23
фку «гу «во минфина россии»,Яндекс,23
фку упрдор тамань сайт,Яндекс,23
12 цнии минобороны россии официальный сайт,Яндекс,22
в/ч 28178,Яндекс,22
гбу автомобильные дороги ювао официальный сайт,Яндекс,22
евро хоум билдинг,Яндекс,22
ип журавлев александр станиславович,Яндекс,22
код инн,Яндекс,22
ку рк управтодор рк,Яндекс,22
мбу защита и безопасность ростов-на-дону,Яндекс,22
мбу сду мо го воркута,Яндекс,22
мбу управление защиты от чс таганрог,Яндекс,22
мбу центр итс ростов-на-дону сайт,Яндекс,22
"общество с ограниченной ответственностью ""комусристар""",Яндекс,22
фгку в/ч 35533,Яндекс,22
войсковая часть 43753,Яндекс,21
дирекция транспортного строительства спб гу дтс официальный сайт,Яндекс,21
ип оболонина лариса викторовна,Mail.ru,21
кубинская школа 1 имени ткаченко официальный сайт,Яндекс,21
мбу центр обеспечения самара,Яндекс,21
мку управление благоустройства кировского района г ростова-на-дону,Яндекс,21
огкусо цог тср и скл и са для лиц бомж,Яндекс,21
спз организации,Яндекс,21
управление капитального строительства самарской области,Яндекс,21
федеральная служба по надзор в сфере почта связи кемеровской области,Яндекс,21
фку гб мсэ по г санкт-петербургу минтруда россии,Яндекс,21
фку гу во минфина россии,Яндекс,21
фку упрдор тамань вакансии,Mail.ru,21
войсковая часть 3553,Яндекс,20
войсковая часть №28178,Яндекс,20
гбу бниц по пчеловодству и апитерапии,Яндекс,20
гку дирекция финансирования научных и образовательных программ бдд рт,Яндекс,20
гку мо дирекция единого заказчика минсоцзащиты мо,Яндекс,20
ивановский железнодорожный колледж,Яндекс,20
кгку лесная охрана красноярский край,Яндекс,20
клеарспендинг,Яндекс,20
комусристар,Яндекс,20
мостотрест сервис,Яндекс,20
предметы роскоши по законодательству,Яндекс,20
упрдор кавказ,Яндекс,20
усрдис администрации г.уфы официальный сайт,Яндекс,20
фблпу санаторий южный,Яндекс,20
фгбу комплекс крым,Яндекс,20
фгбу цас кемеровский,Яндекс,20
(8212)301234,Яндекс,19
в/ч 28178 что за часть,Яндекс,19
в/ч 45187,Яндекс,19
войсковая часть 35533,Яндекс,19
войсковая часть 6910,Яндекс,19
гу то сервис тула,Яндекс,19
департамент инвестиций и внешнеэкономической деятельности владимирской,Яндекс,19
департамент строительства и архитектуры городского округа самара,Яндекс,19
