	title	cluster
0	госзатраты	0
1	госзатраты поиск контрактов	0
2	госзатраты официальный сайт	0
3	госзатраты сайт	0
4		0
5	госзатраты портал	0
6	код спз	0
7	госзатраты	0
8	госзатраты ру	0
9	госзатратыру	0
10	госзатраты по заключенным контрактам	0
11	департамент росприроднадзора по северокавказскому федеральному округу	0
12	санаторий южный фнс россии	2
13	гос затраты	0
14		0
15	госзатраты	0
16	госзатраты сайт	0
17		0
18	кировское областное государственное казенное учреждение дорожный комитет кировской области	0
19	код спз организации	0
20	госзатраты	0
21	госзатраты	0
22	сайт госзатраты	0
23	гку ампп	0
24	спз	0
25	фблпу санаторий южный фнс россии	2
26	гку ампп официальный сайт	0
27	что такое код спз организации	0
28	код спз что это	0
29	фку упрдор тамань	0
30	гбу автомобильные дороги юзао	3
31	поиск поставщиков	0
32	вч 	0
33	код спз что такое	0
34	санаторий южный фнс россии официальный сайт	2
35	фгбу пфмиц минздрава россии г нижний новгород	2
36	фку упрдор каспий астрахань	0
37	елена кулишкина станиславовна	0
38	кубинская сош  имени ткаченко официальный сайт	0
39	мониторинг госзакупок	0
40	транспортное управление костромской области сайт	0
41	дирекция единого заказчика министерства социальной защиты населения	0
42	оборонэнергосбыт кронштадтское отделение	0
43	войсковая часть 	1
44	укс смоленской области официальный сайт	0
45	фку цхисо гу мвд россии по г санктпетербургу и ленинградской области	2
46	гбу автомобильные дороги вао	3
47	узнать окдп по инн	0
48	гаусо реабилитационный центр для детей и подростков с ограниченными возможностями доверие	0
49	упрдор тамань	0
50	центр управления городскими дорогами владимир	0
51		0
52	гбу мфц города москвы вознесенский переулок  телефон	3
53		0
54	войсковая часть 	1
55	гбу автомобильные дороги свао официальный сайт	3
56	техглавстрой	0
57	мегалайн министерство обороны	0
58		0
59		0
60	гос контракты по ремонту дорог в малопургинском районе в  году	0
61	адрес эл почты фозилов дк г урай	0
62	волгаэнергосбыт нижний новгород автозаводский район	0
63	 	0
64	ооо канцтовары	0
65	поиск контрактов	0
66	фгбу минмелиоводхоз рд официальный сайт	0
67	фку налогсервис фнс россии	2
68	войсковая часть 	1
69	глаголев алексей владимирович	0
70	дирекция единого заказчика министерства социальной защиты населения московской области	0
71	служба заказчика министерства строительства хабаровского края	0
72	код по спз	0
73	фку налог сервис	0
74	ц	0
75	 цнии минобороны россии официальный сайт	2
76	сводный перечень заказчиков спз	0
77	фгуп рсво филиал красногвардейский район	0
78	фку налогсервис фнс россии форум зарплата 	2
79	гку дирекция департамента образования города москвы	0
80	донской спасательный центр мчс россии	2
81	фгбу иац судебного департамента	0
82	фгку вч 	0
83	что такое код спз	0
84	департамент автомобильных дорог краснодарского края	0
85	сводный перечень заказчиков	0
86	фгбу нцэсмп минздрава россии	2
87	фгбу центр геодезии картографии и ипд	0
88	бюджеты регионов россии  таблица	2
89	вч 	0
90	код спз как узнать	0
91	мку автохозяйство тула	0
92	фку тамань	0
93		0
94	атекс групп	0
95	егорова лариса станиславовна иваново	0
96	санктпетербургского государственное бюджетное учреждение дом молодежи рекорд	0
97	территориальные информационные системы 	0
98	фгбу сзфмиц минздрава россии	2
99	фку центравтомагистраль	0
100	гку мосэкопром официальный сайт	0
101		0
102	гбу жилищник куркино	3
103	департамент смоленской области по образованию науке и делам молодежи	0
104	дом отдыха прибрежный фсб россии	2
105	минздрав рф почтовый адрес	0
106	мку служба заказчика верхисетского района города екатеринбурга	0
107	усрдис администрации гуфы	0
108	фгку  центральный научноисследовательский институт минобороны рф	0
109		0
110	леноблэкспертиза официальный сайт	0
111	поликлиника  фтс россии ростов на дону	2
112	служба заказчика верхисетского района города екатеринбурга	0
113	управление капитального строительства смоленской области сайт	0
114	упрдор каспий астрахань	0
115	фгку комбинат гранит свердловская область г красноуральск	0
116	гбу мфц города москвы	3
117	гку управление по обеспечению гз ло	0
118	муромский дом интернат для престарелых	0
119	тихоокеанская дирекция по техническому обеспечению надзора на море инн	0
120	управление по обеспечению жизнедеятельности города администрации го гуфа	0
121		0
